Q1,Q2,Q3,Q4,Q5,Q5_TEXT,Discipline,Q6,Q7,Q8,Q8_TEXT,Q9,Q10,Q10_TEXT,Q11,Q12,Q12_TEXT,Q13,Q14
1,5,2,2,2,,Physical sciences,2,1,2,,2,5,,2,1,,77,1
1,6,2,2,1,,Life sciences,1,5,2,,5,9,,4,1,,4,1
1,6,2,2,1,,Life sciences,1,5,2,,4,3,,4,4,,NA,1
1,7,2,2,1,,Life sciences,1,4,4,,4,3,,5,6,,NA,1
1,6,1,1,2,,Physical sciences,NA,1,7,,5,7,,4,2,,NA,2
1,6,2,2,1,,Life sciences,1,3,6,,2,9,,2,1,,4,2
1,8,2,2,1,,Life sciences,1,7,10,,5,3,,5,7,home with children,NA,1
1,6,1,2,3,,Engineering,1,4,2,,4,4,,3,4,,NA,2
1,5,2,1,2,,Physical sciences,NA,2,2,,5,3,,5,1,,4,2
1,5,1,1,3,,Engineering,NA,2,6,,3,5,,3,2,,NA,2
1,5,2,2,2,,Physical sciences,1,3,2,,5,5,,4,4,,NA,1
1,6,2,1,1,,Life sciences,NA,3,6,,2,5,,3,7,Current DVM degree,NA,1
1,5,2,2,1,,Life sciences,2,2,10,,5,2,,5,4,,NA,2
1,5,1,2,5,,Computer science,2,2,2,,5,2,,5,4,,NA,1
1,6,1,2,1,,Life sciences,2,2,2,,5,5,,2,6,,NA,1
1,7,2,2,1,,Life sciences,1,6,10,,5,3,,4,1,,4,2
1,5,2,1,1,,Life sciences,NA,1,2,,5,4,,4,2,,NA,2
1,5,2,1,2,,Physical sciences,NA,2,2,,5,4,,3,6,,NA,2
1,6,2,1,1,,Life sciences,NA,3,2,,5,10,health care,5,2,,NA,1
1,6,1,2,4,,Mathematics,2,3,10,,5,3,,5,6,,NA,2
1,6,1,2,4,,Mathematics,2,2,8,,4,9,,3,6,,NA,1
1,6,1,2,3,,Engineering,2,3,9,Computer Science,4,8,,4,6,,NA,2
1,2,1,2,2,,Physical sciences,1,5,8,,6,8,,4,1,,4,2
1,5,2,2,2,,Physical sciences,2,1,3,,4,3,,5,4,,NA,2
1,5,2,1,2,,Physical sciences,NA,2,5,,3,3,,5,4,,NA,2
1,6,2,2,1,,Life sciences,1,5,6,,3,4,,4,1,,4,1
1,5,2,2,4,,Mathematics,2,1,9,pastor of church,4,10,church ministry,4,1,,4,2
1,5,1,1,3,,Engineering,NA,2,7,,3,5,,3,4,,NA,2
1,5,2,2,4,,Mathematics,1,4,10,,6,9,,4,1,,4,1
1,6,1,2,2,,Physical sciences,2,1,6,,4,3,,4,1,,4,2
1,5,1,1,3,,Engineering,NA,2,6,,4,10,business analyst,5,1,,4,2
1,6,1,2,2,,Physical sciences,1,5,6,,2,5,,2,1,,4,2
1,5,1,2,1,,Life sciences,2,2,2,,3,9,,2,6,,NA,1
1,5,2,1,1,,Life sciences,NA,2,2,,6,5,,5,2,,NA,1
1,6,1,2,1,,Life sciences,2,2,7,,3,3,,4,4,,NA,2
1,6,1,2,1,,Life sciences,1,7,7,,3,3,,5,1,,4,2
1,7,1,2,1,,Life sciences,1,4,4,,1,5,,1,6,,NA,1
1,5,2,1,1,,Life sciences,NA,1,6,,2,3,,5,6,,NA,2
1,6,1,2,1,,Life sciences,1,6,2,,6,8,,3,1,,4,2
1,6,1,2,1,,Life sciences,1,3,4,,4,5,,2,6,,NA,2
1,6,2,2,1,,Life sciences,2,2,3,,2,3,,4,2,,NA,2
1,6,1,2,1,,Life sciences,2,3,2,,5,4,,4,4,,NA,2
1,6,2,2,1,,Life sciences,1,5,2,,5,4,,4,4,,NA,1
1,5,1,2,2,,Physical sciences,2,4,2,,5,2,,4,6,,NA,1
1,5,4,2,3,,Engineering,1,4,2,,4,3,,4,4,,NA,2
1,6,1,2,3,,Engineering,2,3,1,,3,9,,3,5,,NA,1
1,6,2,2,1,,Life sciences,1,5,8,,7,4,,3,1,,4,2
1,5,2,2,1,,Life sciences,2,1,4,,4,5,,4,6,,NA,1
1,5,1,1,1,,Life sciences,NA,1,2,,5,4,,4,1,,154,1
1,6,1,2,1,,Life sciences,1,5,3,,4,9,,4,1,,4,2
1,5,1,1,3,,Engineering,NA,2,2,,5,5,,3,4,,NA,2
1,6,1,2,3,,Engineering,1,5,9,"deceased, was unemployed",3,3,,5,4,,NA,2
1,5,4,1,1,,Life sciences,NA,3,7,,4,3,,5,3,,NA,2
1,6,1,2,2,,Physical sciences,1,5,2,,4,5,,4,2,,NA,2
1,6,2,2,2,,Physical sciences,1,6,6,,3,3,,4,4,,NA,1
1,6,2,2,2,,Physical sciences,1,7,7,,3,8,,2,1,,4,1
1,5,2,2,1,,Life sciences,1,4,2,,3,2,,4,1,,4,1
1,6,1,2,2,,Physical sciences,2,3,9,Healthcare (Doctor),7,5,,5,1,,4,2
1,6,2,2,3,,Engineering,1,6,2,,5,3,,2,4,,NA,2
1,5,2,1,4,,Mathematics,NA,1,2,,5,9,,3,4,,NA,1
1,6,1,2,3,,Engineering,1,5,2,,5,2,,5,1,,77,1
1,6,2,2,1,,Life sciences,2,1,7,,5,2,,5,1,,4,1
1,6,1,1,1,,Life sciences,NA,3,5,,4,9,,4,4,,NA,1
1,8,2,2,1,,Life sciences,2,3,2,,4,5,,5,1,,4,1
1,6,1,2,1,,Life sciences,1,3,6,,2,3,,5,4,,NA,2
1,5,2,2,1,,Life sciences,2,1,6,,3,4,,4,1,,4,1
1,5,1,2,2,,Physical sciences,2,2,10,,6,4,,4,4,,NA,2
1,5,2,1,1,,Life sciences,NA,2,3,,4,8,,4,4,,NA,1
1,5,2,1,1,,Life sciences,NA,1,7,,4,4,,4,4,,NA,2
1,5,2,2,2,,Physical sciences,2,2,2,,4,2,,4,4,,NA,1
1,6,1,2,1,,Life sciences,2,2,2,,4,4,,3,2,,NA,1
1,6,2,2,4,,Mathematics,2,6,10,,4,8,,3,1,,4,1
1,6,2,1,1,,Life sciences,NA,3,6,,1,7,,2,4,,NA,2
1,6,2,2,5,,Computer science,1,6,2,,5,3,,5,4,,NA,2
1,6,2,2,4,,Mathematics,1,5,10,,6,10,Worship and music asst. at church,5,1,,4,2
1,5,1,2,4,,Mathematics,1,4,10,,6,3,,4,4,,NA,2
1,6,1,2,4,,Mathematics,2,5,2,,5,3,,4,6,,NA,2
1,5,1,2,2,,Physical sciences,1,2,1,,5,3,,5,4,,NA,1
1,5,2,2,1,,Life sciences,1,3,9,Owner of metal fabrication business,4,10,Owner of metal fabrication business,3,1,,4,1
1,6,1,2,1,,Life sciences,2,3,2,,3,4,,4,5,,NA,1
1,5,2,2,2,,Physical sciences,2,1,2,,4,5,,4,2,,NA,1
1,5,2,2,4,,Mathematics,2,2,2,,4,8,,4,1,,4,2
1,5,2,1,2,,Physical sciences,NA,1,9,Corporate instructor / trainer,5,3,,6,3,,NA,2
1,5,1,2,1,,Life sciences,2,2,2,,5,3,,4,6,,NA,1
1,6,2,2,3,,Engineering,1,4,6,,3,9,,2,7,medical school,NA,1
1,6,2,2,1,,Life sciences,1,5,2,,5,3,,5,4,,NA,1
1,5,1,1,1,,Life sciences,NA,2,3,,4,2,,5,1,,4,1
1,5,1,2,2,,Physical sciences,2,2,4,,5,8,,3,1,,4,2
1,5,1,1,2,,Physical sciences,NA,2,6,,3,2,,4,4,,NA,2
1,6,2,2,1,,Life sciences,2,2,9,deceased; formerly military/technical,3,2,,4,1,,4,2
1,8,4,2,1,,Life sciences,1,5,7,,5,8,,4,6,,NA,1
1,5,2,2,1,,Life sciences,2,3,7,,3,4,,3,1,,4,1
1,6,2,2,1,,Life sciences,1,3,2,,5,3,,6,1,,4,2
1,6,2,1,2,,Physical sciences,NA,2,6,,3,2,,3,2,,NA,2
1,7,1,1,2,,Physical sciences,NA,1,2,,4,9,,3,3,,NA,1
1,5,1,2,2,,Physical sciences,2,2,9,chiropractor,5,10,massage therapist,4,2,,NA,2
1,6,2,2,1,,Life sciences,1,3,7,,5,3,,4,4,,NA,1
1,5,1,2,2,,Physical sciences,1,3,2,,4,2,,4,4,,NA,2
1,5,1,2,1,,Life sciences,1,5,10,,6,10,Mother. Full time job you ingrates.,5,1,,4,1
1,5,1,2,1,,Life sciences,2,2,3,,4,5,,1,1,,4,2
1,6,2,2,1,,Life sciences,1,6,2,,4,10,Has held jobs in food quality testing,4,6,,NA,2
1,5,1,2,1,,Life sciences,2,2,2,,6,9,,4,6,,NA,2
1,7,2,2,2,,Physical sciences,1,2,7,,5,8,,3,1,,4,2
1,6,2,2,1,,Life sciences,2,1,8,,1,7,,1,1,,4,2
1,7,1,2,1,,Life sciences,2,2,2,,4,8,,4,1,,4,2
1,5,1,2,2,,Physical sciences,1,4,6,,3,8,,2,4,,NA,2
1,6,1,2,2,,Physical sciences,1,5,2,,4,5,,4,6,,NA,2
1,5,2,1,1,,Life sciences,NA,2,4,,4,3,,4,1,,4,1
1,6,2,2,1,,Life sciences,2,4,3,,6,4,,6,1,,4,1
1,6,1,2,1,,Life sciences,1,7,2,,5,5,,4,6,,NA,2
1,5,1,2,2,,Physical sciences,1,3,2,,5,1,,4,6,,NA,1
1,7,1,2,4,,Mathematics,1,6,2,,4,8,,3,4,,NA,1
1,5,1,2,2,,Physical sciences,1,3,4,,4,10,Equestrian,4,4,,NA,2
1,6,1,2,2,,Physical sciences,1,3,2,,5,5,,5,4,,NA,1
1,6,1,2,4,,Mathematics,1,6,4,,2,5,,2,1,,4,1
1,6,1,2,2,,Physical sciences,2,2,2,,5,2,,5,6,,NA,2
1,5,1,2,3,,Engineering,2,1,10,,4,3,,4,1,,4,1
1,5,2,2,2,,Physical sciences,1,4,10,,6,2,,6,1,,4,1
1,6,1,2,1,,Life sciences,2,1,6,,4,4,,4,1,,4,2
1,6,2,2,1,,Life sciences,2,3,2,,5,2,,5,1,,4,1
1,7,1,2,1,,Life sciences,1,5,1,,4,8,,3,4,,NA,2
1,8,1,1,5,,Computer science,NA,2,2,,4,10,Self-employed,3,4,,NA,2
1,5,1,2,2,,Physical sciences,2,1,2,,5,10,fitness,4,4,,NA,1
1,2,2,2,4,,Mathematics,1,5,2,,4,8,,4,1,,4,1
1,6,1,2,1,,Life sciences,1,4,2,,5,3,,4,4,,NA,2
1,5,2,1,5,,Computer science,NA,1,7,,2,8,,2,6,,NA,1
1,5,1,2,2,,Physical sciences,1,3,8,,5,3,,6,6,,NA,1
1,6,1,2,3,,Engineering,1,5,9,Deceased,6,2,,5,4,,NA,2
1,5,1,2,3,,Engineering,2,1,7,,6,8,,4,6,,NA,1
1,5,1,2,2,,Physical sciences,1,3,2,,4,3,,5,1,,4,2
1,6,1,2,1,,Life sciences,1,5,2,,5,2,,5,1,,4,2
1,6,1,2,1,,Life sciences,1,4,2,,5,2,,5,1,,4,1
1,6,1,2,2,,Physical sciences,2,2,7,,2,8,,2,1,,4,2
1,5,2,2,1,,Life sciences,2,1,2,,4,3,,5,1,,4,2
1,5,1,2,2,,Physical sciences,1,2,2,,5,2,,5,1,,4,1
1,5,1,1,5,,Computer science,NA,1,2,,5,8,,5,4,,NA,1
1,5,2,2,2,,Physical sciences,1,4,2,,5,2,,5,6,,NA,1
1,5,2,2,1,,Life sciences,2,1,2,,5,5,,5,6,,NA,2
1,5,2,1,2,,Physical sciences,NA,2,7,,5,8,,5,4,,NA,2
1,6,2,2,3,,Engineering,1,5,2,,5,2,,4,1,,4,1
1,5,2,1,1,,Life sciences,NA,1,6,,3,4,,4,1,,4,1
1,5,2,2,1,,Life sciences,2,2,4,,1,8,,3,1,,4,2
1,6,1,2,3,,Engineering,2,5,6,,3,2,,5,1,,4,1
1,6,1,2,3,,Engineering,1,5,2,,5,5,,4,6,,NA,2
1,6,1,2,3,,Engineering,1,7,7,,4,8,,4,4,,NA,2
1,5,1,1,1,,Life sciences,NA,1,10,,6,3,,5,1,,4,2
1,6,1,2,1,,Life sciences,2,7,2,,4,4,,3,4,,NA,1
1,5,2,1,1,,Life sciences,NA,2,2,,5,4,,2,6,,NA,1
1,5,1,2,3,,Engineering,2,2,2,,5,2,,4,4,,NA,2
1,3,1,2,3,,Engineering,1,2,7,,3,4,,4,2,,NA,2
1,6,1,2,4,,Mathematics,1,6,2,,5,2,,5,1,,4,1
1,5,1,1,3,,Engineering,NA,1,10,,6,8,,5,1,,4,1
1,6,1,2,3,,Engineering,1,6,10,,6,2,,5,1,,4,1
1,5,2,2,1,,Life sciences,2,1,10,,5,3,,4,1,,4,1
1,6,2,2,3,,Engineering,1,4,2,,5,2,,4,6,,NA,2
1,6,2,2,4,,Mathematics,1,5,10,,6,3,,6,1,,4,1
1,5,1,2,3,,Engineering,1,4,2,,5,4,,5,1,,4,2
1,6,1,1,2,,Physical sciences,NA,2,6,,2,5,,4,6,,NA,2
1,5,1,1,3,,Engineering,NA,2,10,,6,10,Student,5,1,,4,2
1,5,2,2,3,,Engineering,2,2,6,,3,8,,2,4,,NA,1
1,7,1,1,1,,Life sciences,NA,2,2,,3,4,,2,4,,NA,2
1,7,1,2,1,,Life sciences,1,3,5,,4,8,,4,3,,NA,1
1,6,2,2,1,,Life sciences,2,1,3,,3,3,,5,1,,4,2
1,5,2,2,2,,Physical sciences,2,1,2,,5,2,,5,1,,4,2
1,6,2,2,1,,Life sciences,2,2,5,,3,2,,4,4,,NA,2
1,6,1,1,5,,Computer science,NA,1,2,,5,2,,4,5,,NA,1
1,5,2,2,4,,Mathematics,2,2,2,,4,2,,4,6,,NA,1
1,5,2,1,2,,Physical sciences,NA,2,6,,2,4,,3,4,,NA,2
1,6,1,1,5,,Computer science,NA,1,2,,4,8,,2,4,,NA,2
1,5,2,2,3,,Engineering,2,3,10,,6,5,,3,2,,NA,1
1,5,2,1,3,,Engineering,NA,1,2,,4,3,,4,1,,4,1
1,5,2,1,1,,Life sciences,NA,1,6,,4,9,,4,7,Agricultural extension education,NA,1
1,6,2,2,1,,Life sciences,1,3,2,,5,2,,5,1,,4,1
1,6,2,2,1,,Life sciences,1,5,7,,5,8,,3,6,,NA,1
1,5,1,1,3,,Engineering,NA,1,2,,4,5,,4,4,,NA,2
1,7,1,1,5,,Computer science,NA,NA,10,,5,3,,5,4,,NA,1
1,5,1,1,3,,Engineering,NA,1,2,,5,3,,6,5,,NA,1
1,5,2,1,1,,Life sciences,NA,1,10,,4,3,,5,1,,4,2
1,6,2,2,4,,Mathematics,1,5,9,Business,1,8,,3,4,,NA,1
1,5,1,1,2,,Physical sciences,NA,3,6,,3,9,,2,1,,4,1
1,5,2,2,3,,Engineering,1,4,2,,5,3,,5,6,,NA,2
1,6,2,1,2,,Physical sciences,NA,2,6,,2,5,,3,2,,NA,1
1,5,1,2,4,,Mathematics,2,2,10,,6,8,,3,6,,NA,2
1,5,1,1,3,,Engineering,NA,1,10,,6,3,,6,1,,4,2
1,5,2,1,1,,Life sciences,NA,2,10,,3,3,,4,4,,NA,2
1,5,1,1,4,,Mathematics,NA,1,6,,4,3,,4,4,,NA,2
1,5,1,1,1,,Life sciences,NA,1,2,,5,2,,4,4,,NA,1
1,5,4,2,2,,Physical sciences,2,3,2,,5,3,,4,6,,NA,2
1,6,2,2,2,,Physical sciences,1,5,2,,6,8,,4,1,,4,1
1,5,1,1,3,,Engineering,NA,2,10,,6,2,,5,4,,NA,2
1,5,2,2,4,,Mathematics,1,5,9,management,4,4,,4,1,,4,1
1,5,1,2,3,,Engineering,1,3,9,Minister,5,9,,3,1,,4,1
1,5,1,1,4,,Mathematics,NA,1,6,,3,4,,3,4,,NA,2
1,5,2,2,1,,Life sciences,2,2,10,,6,3,,6,1,,4,2
1,6,1,2,1,,Life sciences,2,5,5,,2,4,,2,4,,NA,2
1,6,1,2,1,,Life sciences,2,2,4,,3,8,,2,1,,4,2
1,6,2,2,2,,Physical sciences,1,6,6,,5,8,,5,4,,NA,1
1,2,2,1,1,,Life sciences,NA,3,5,,1,9,,2,6,,NA,1
1,5,1,2,1,,Life sciences,2,2,2,,5,10,Middle School Secretary,3,4,,NA,2
1,5,2,1,3,,Engineering,NA,1,2,,5,8,,5,4,,NA,2
1,5,1,1,3,,Engineering,NA,1,2,,5,2,,5,4,,NA,1
1,5,1,2,1,,Life sciences,2,3,6,,3,4,,2,4,,NA,2
1,6,1,2,2,,Physical sciences,1,6,2,,4,3,,5,4,,NA,1
1,6,2,2,4,,Mathematics,2,5,8,,7,4,,4,1,,4,1
1,5,1,1,3,,Engineering,NA,2,7,,2,8,,2,4,,NA,2
1,6,2,2,2,,Physical sciences,2,2,7,,4,8,,4,6,,NA,2
1,5,1,2,4,,Mathematics,2,1,8,,5,3,,4,1,,4,2
1,6,2,2,1,,Life sciences,1,4,8,,3,2,,5,6,,NA,1
1,5,2,1,1,,Life sciences,NA,1,6,,2,5,,2,3,,NA,1
1,5,1,1,1,,Life sciences,NA,1,4,,3,4,,3,3,,NA,1
1,6,2,1,2,,Physical sciences,NA,2,2,,5,2,,5,6,,NA,1
1,5,1,1,3,,Engineering,NA,2,2,,5,9,,4,4,,NA,2
1,5,1,2,2,,Physical sciences,2,1,2,,5,8,,5,1,,4,2
1,6,2,2,2,,Physical sciences,2,4,3,,3,5,,3,6,,NA,2
1,7,2,2,2,,Physical sciences,1,7,2,,6,3,,5,4,,NA,2
1,6,1,2,1,,Life sciences,1,2,2,,5,2,,5,1,,4,2
1,6,1,2,2,,Physical sciences,1,5,7,,4,8,,4,1,,4,1
1,5,1,2,1,,Life sciences,2,1,2,,4,2,,4,1,,4,1
1,6,2,2,1,,Life sciences,1,5,2,,5,2,,5,1,,4,1
1,5,2,2,2,,Physical sciences,2,1,10,,6,7,,5,1,,4,1
1,5,2,2,4,,Mathematics,2,2,10,,6,3,,5,1,,4,1
1,6,1,2,1,,Life sciences,1,5,4,,2,5,,3,1,,4,1
1,6,2,2,1,,Life sciences,1,6,6,,2,5,,2,4,,NA,1
1,6,2,2,2,,Physical sciences,1,7,2,,5,8,,3,1,,4,2
1,5,1,2,2,,Physical sciences,2,1,8,,7,5,,2,1,,4,2
1,6,1,2,1,,Life sciences,2,4,2,,5,2,,5,6,,NA,2
1,6,1,1,2,,Physical sciences,NA,1,4,,4,9,,2,1,,4,1
1,5,1,2,2,,Physical sciences,2,1,2,,6,8,,5,5,,NA,2
1,6,2,2,1,,Life sciences,1,4,6,,2,9,,7,1,,4,1
1,6,1,2,1,,Life sciences,1,5,9,Insurance,4,8,,3,4,,NA,1
1,2,1,2,4,,Mathematics,2,4,2,,5,2,,5,1,,4,1
1,5,1,2,2,,Physical sciences,2,1,7,,5,2,,5,1,,4,2
1,5,1,2,1,,Life sciences,1,3,2,,4,2,,4,4,,NA,2
1,8,1,2,2,,Physical sciences,1,7,2,,4,8,,5,6,,NA,2
1,7,1,2,5,,Computer science,1,6,7,,4,8,,3,4,,NA,2
1,6,2,2,1,,Life sciences,2,2,10,,6,8,,5,1,,71,1
1,5,2,1,4,,Mathematics,NA,1,4,,2,5,,2,7,Pursue phd,NA,1
1,7,2,2,1,,Life sciences,2,1,7,,5,8,,5,1,,4,2
1,5,1,1,5,,Computer science,NA,2,9,Managing Librarian at large public library,5,2,,5,2,,NA,1
1,6,1,2,4,,Mathematics,1,6,9,arts,4,10,arts,3,1,,4,1
1,6,1,2,3,,Engineering,1,5,4,,4,5,,4,6,,NA,1
1,5,1,2,1,,Life sciences,2,1,3,,1,4,,1,4,,NA,2
1,7,2,2,1,,Life sciences,1,6,10,,5,3,,5,1,,4,2
1,5,1,2,3,,Engineering,1,3,2,,4,10,state government,4,1,,4,2
1,5,1,2,4,,Mathematics,2,3,2,,4,9,,4,1,,4,2
1,5,1,2,1,,Life sciences,2,4,2,,4,4,,5,1,,4,1
1,3,1,2,3,,Engineering,2,3,2,,5,9,,2,2,,NA,2
1,6,1,2,1,,Life sciences,1,5,1,,5,4,,5,1,,4,1
1,8,1,1,2,,Physical sciences,NA,1,8,,5,3,,5,1,,4,1
1,6,1,2,1,,Life sciences,1,4,2,,6,4,,4,6,,NA,2
1,6,2,2,4,,Mathematics,2,3,9,Unknown,3,5,,4,1,,4,2
1,2,2,2,1,,Life sciences,1,5,7,,2,8,,6,3,,NA,1
1,5,2,2,4,,Mathematics,1,3,2,,5,2,,4,1,,4,1
1,6,1,2,2,,Physical sciences,1,4,2,,5,8,,4,1,,4,1
1,5,4,2,4,,Mathematics,2,3,9,software engineer,6,3,,5,6,,NA,2
1,7,4,2,2,,Physical sciences,1,5,2,,5,8,,4,1,,4,1
1,5,1,1,2,,Physical sciences,NA,2,2,,5,8,,3,6,,NA,2
1,7,1,2,2,,Physical sciences,2,4,3,,2,5,,2,1,,4,1
1,6,2,2,2,,Physical sciences,1,7,2,,4,2,,4,1,,4,2
1,6,1,2,1,,Life sciences,1,5,2,,5,2,,5,4,,NA,1
1,5,2,2,1,,Life sciences,2,1,4,,3,4,,2,6,,NA,2
1,7,2,2,1,,Life sciences,2,3,2,,4,3,,4,1,,4,1
1,5,1,2,2,,Physical sciences,1,3,9,Management,3,10,Real Estate,3,2,,NA,1
1,6,1,2,3,,Engineering,1,5,10,,4,4,,4,2,,NA,1
1,2,1,1,3,,Engineering,NA,3,7,,1,9,,1,4,,NA,2
1,5,2,1,3,,Engineering,NA,2,4,,2,8,,2,4,,NA,2
1,5,1,2,3,,Engineering,2,1,2,,5,3,,5,1,,4,1
1,7,2,1,5,,Computer science,NA,1,2,,6,2,,6,4,,NA,2
1,6,1,2,2,,Physical sciences,1,4,9,Self-employed artist,4,10,Self-employed business owner,4,1,,77,1
